date,timestamp,long_conviction,short_conviction,net_conviction,zone,mri,slope_5d,mnav,btc_price,mstr_price,bull_sum,bear_sum
2026-06-19,2026-06-19T22:24:19.704354,,,58.7,LONG,15.055555555555555,-2.790245346016716,0.8098529471277858,63344.01171875,112.52999877929688,70.6,-11.9
2026-06-20,2026-06-20T12:49:06.800241,,,65.9,LONG,15.055555555555555,-2.790245346016716,0.8040901595074805,63797.98828125,112.52999877929688,65.9,0.0
2026-06-22,2026-06-22T16:43:58.136602,,,65.2,LONG,17.07777777777778,-2.789620408769497,0.7825953906749009,64146.12890625,109.45999908447266,65.1,0.0
2026-06-24,2026-06-24T20:30:15.265079,,,66.1,LONG,11.755555555555556,-2.919598041126447,0.7106069100809642,60750.6484375,94.12999725341795,66.1,0.0
2026-06-25,2026-06-25T19:12:38.692632,,,66.1,LONG,11.755555555555556,-3.0053056175403245,0.6552353605651503,59725.078125,85.33000183105469,63.7,0.0
2026-06-26,2026-06-26T23:14:32.875962,,,59.5,LONG,11.588888888888889,-3.0678970438528603,0.6294136509187794,59974.7890625,82.30999755859375,61.5,-1.7
2026-06-27,2026-06-27T22:39:18.365561,,,68.6,LONG,12.511111111111113,-3.0678970438528603,0.6274909477441107,60158.55859375,82.30999755859375,59.9,0.0
2026-06-28,2026-06-28T22:37:08.005796,,,72.0,LONG,12.766666666666667,-3.0678970438528603,0.6374642730666645,59217.359375,82.30999755859375,62.9,0.0
2026-06-29,2026-06-29T23:04:33.152700,,,55.5,LONG,11.944444444444445,-3.119654707194152,0.7051678787074861,60276.19140625,92.68000030517578,62.5,-1.7
2026-06-30,2026-06-30T22:52:49.443928,,,59.1,LONG,12.422222222222224,-3.1785112249624743,0.6820571189526985,58452.25,86.93000030517578,66.4,-1.7
2026-07-01,2026-07-01T05:08:44.570438,,,56.4,LONG,10.933333333333334,-3.1785112249624743,0.672769443612389,59259.19140625,86.93000030517578,58.4,-1.7
