Unnamed: 0,Date,Price,MarketCap,realized_cap,ZScore
1,2010-08-18,0.068,255170.00000000003,197235.61756988795,11.638836474234612
2,2010-08-19,0.0667,250741.975,197700.6329575296,9.171769446770933
3,2010-08-20,0.0655,246862.95,198328.7276060902,7.371200844472058
4,2010-08-21,0.0664,250829.32,198997.94546662425,8.860864594274288
5,2010-08-22,0.0659289888953828,249748.89928404437,199772.84168372597,9.230255555942882
6,2010-08-23,0.06491,246580.108,200456.78924487496,8.478228751751764
7,2010-08-24,0.065,247620.75,201173.39277964225,8.859834095036891
8,2010-08-25,0.0648,247558.68,201878.8404766801,9.039254369147558
9,2010-08-26,0.0640751139684395,245462.1503459965,202548.92290163448,8.487430285011868
10,2010-08-27,0.065,249561.0,203157.95387566084,9.664271063053937
11,2010-08-28,0.0646,248574.34000000003,203701.88043309236,9.749719536607886
12,2010-08-29,0.064,246784.0,204213.1190887045,9.459921373110744
13,2010-08-30,0.06497,251008.3465,204709.2479942197,10.67988279076105
14,2010-08-31,0.06,232359.0,205164.24959454243,4.412590230808288
15,2010-09-01,0.0620248275862069,240687.34344827587,205623.31058060715,5.579006695608679
16,2010-09-02,0.0634,246518.22,206134.72160305787,6.62062826348351
17,2010-09-03,0.06085,237102.025,206593.08309347855,4.720101272676041
18,2010-09-04,0.062178275862069,242840.36529310356,207141.644067834,5.601879322051836
19,2010-09-05,0.06165,241285.77,207734.97264579023,5.28726857753869
20,2010-09-06,0.0616,241576.72,208134.03169861992,5.311649615219058
21,2010-09-07,0.0612391180596142,240651.3622388659,208614.83226190484,5.10214464939525
22,2010-09-08,0.061,240214.95,209108.98225953276,4.9606138650771525
23,2010-09-09,0.0611149707773232,241080.22522530684,209615.68422968048,5.058450532810451
24,2010-09-10,0.0610115242548218,241212.11171765073,210152.84794791497,5.039791227627488
25,2010-09-11,0.0636208649912332,252037.2377060199,210658.6580781974,6.714976715154558
26,2010-09-12,0.0615,244179.6,211210.7357335748,5.446936441081777
27,2010-09-13,0.06218,247411.111,211780.61839851303,5.992278211731451
28,2010-09-14,0.06199,247284.309,212408.3348094577,5.968002528390376
29,2010-09-15,0.0604,241452.02,212766.26238280573,4.943301637890692
30,2010-09-16,0.0619,248126.15,213518.95432589555,6.050655264239651
31,2010-09-17,0.0600005260081823,241136.11397428383,214331.2566558594,4.710209702944894
32,2010-09-18,0.061,245875.75,215041.10162064215,5.505020394358885
33,2010-09-19,0.0627,253383.24,215746.30133590303,6.6419996899205564
34,2010-09-20,0.0621017358270018,251595.86744272377,216352.5879093784,6.2254225884948475
35,2010-09-21,0.06265,254355.8675,216904.81933097015,6.52090427735513
36,2010-09-22,0.061881870251315,251775.6713980128,217453.4195621946,5.9889089858009
37,2010-09-23,0.062153512565751,253608.0849976621,218199.48113659545,6.139500149780236
38,2010-09-24,0.0622,254506.85,218918.76785289505,6.109587570276611
39,2010-09-25,0.06202,254412.242,219617.73636133663,5.927846902302496
40,2010-09-26,0.062,254965.7,220256.8512464407,5.859546673039596
41,2010-09-27,0.0622004418468732,256502.18208813568,221161.6463276072,5.870817764032021
42,2010-09-28,0.0619038977206312,255935.4747361776,222367.91524421636,5.517611240843348
43,2010-09-29,0.06191,256468.366,222908.45213167608,5.452564719482214
44,2010-09-30,0.0619,256878.81,223336.67442372392,5.3849878155364
45,2010-10-01,0.0619733138515488,257660.2496691993,224086.8406596956,5.314541393114592
46,2010-10-02,0.0614,255583.64,225406.9979142376,4.762083716531702
47,2010-10-03,0.0610648684979544,254561.1173074225,225757.9661196248,4.550345688647378
48,2010-10-04,0.0612944769140853,255987.18866014015,226176.34936504657,4.6936467496356284
49,2010-10-05,0.0614,256814.71,226813.1152586275,4.69641039210774
50,2010-10-06,0.06281,263249.272,227447.6682004801,5.396642789221977
51,2010-10-07,0.067,281346.4,228401.95985015843,6.670292480441483
52,2010-10-08,0.0844531081239041,355285.78056645213,231062.6171063966,7.537605320260493
53,2010-10-09,0.0938,395348.24,234860.1681153443,6.304796178059527
54,2010-10-10,0.0971462010520164,410316.4093834017,237179.7434943642,5.27450397344201
55,2010-10-11,0.095,402006.75,238973.2434634895,4.308657035253972
56,2010-10-12,0.0949,402319.06,239989.84292710468,3.8671227389066134
57,2010-10-13,0.104865589129164,445489.99573851447,242149.04262037607,4.231571151540046
58,2010-10-14,0.102,434361.9,243825.5919696294,3.6318695429609305
59,2010-10-15,0.105,448066.5,247131.06464654265,3.5281382581017584
60,2010-10-16,0.101,432300.2,249436.03648238536,3.04188539609496
61,2010-10-17,0.102,437957.4,250960.94317420785,2.9611357326597445
62,2010-10-18,0.1024,440949.76,252581.4333804818,2.855407812085848
63,2010-10-19,0.0975448918760959,421291.5107682643,253808.1966799819,2.469980216317522
64,2010-10-20,0.099,428882.85,255467.474988438,2.487503270382626
65,2010-10-21,0.107,464535.15,259061.1926563265,2.82764112569885
66,2010-10-22,0.1025,445787.875,259863.61480356223,2.4891971093866023
67,2010-10-23,0.104556424313267,455646.4415147863,261182.48779076355,2.530721131175705
68,2010-10-24,0.11501,502380.9315,264235.4420743388,2.96223534769909
69,2010-10-25,0.139118552893045,609102.7601316189,267575.38063678343,3.87094839633525
70,2010-10-26,0.151,662942.85,271814.07440006605,4.004566269719685
71,2010-10-27,0.1877,826067.7000000001,279414.41160110425,4.759770549604427
72,2010-10-28,0.1731,763708.545,287731.20182395447,3.7853578642741983
73,2010-10-29,0.19,840389.0,291595.2105967577,3.951386244692694
74,2010-10-30,0.197610543541789,876541.0879883135,295737.6615771159,3.822117778012219
75,2010-10-31,0.1925,855595.125,299869.7279842088,3.42076803529592
76,2010-11-01,0.194525061367621,866317.3608007,302422.6779297768,3.2743216153626853
77,2010-11-02,0.1938,864793.74,306110.5729129286,3.088161331200806
78,2010-11-03,0.1931,863504.58,308998.6399716366,2.938165600972678
79,2010-11-04,0.229275160724722,1027576.8790940952,322027.90491250384,3.4948061764970033
80,2010-11-05,0.259112413793104,1164140.2526896575,328158.1949439027,3.8121353965148006
81,2010-11-06,0.400982302746932,1805903.9968813576,359760.956772468,5.3746578057118
82,2010-11-07,0.34,1535355.0,367409.3234308976,3.955203506389342
83,2010-11-08,0.243184628872005,1101504.7764757469,377385.978383011,2.389027158539017
84,2010-11-09,0.217272694330801,986494.0777048522,380436.5910134136,1.9704556436820708
85,2010-11-10,0.229549731151373,1044566.0516043229,382911.8533061754,2.113808095920699
86,2010-11-11,0.2231,1017659.495,385588.215024064,1.990795728106952
87,2010-11-12,0.2682,1225647.18,388442.005420198,2.562864726620628
88,2010-11-13,0.276,1264369.8,393689.1402111534,2.5898510662462586
89,2010-11-14,0.27904,1281867.904,399142.67112056736,2.5551828528469684
90,2010-11-15,0.268464555815313,1235970.5452903286,409574.8459809098,2.3415126629845626
91,2010-11-16,0.225,1038082.5,411769.4471300937,1.759802765501136
92,2010-11-17,0.241939333722969,1119223.4547691408,415065.5205939137,1.9552819623995863
93,2010-11-18,0.269057790765634,1248132.1855826995,419535.30628606456,2.259509196262748
94,2010-11-19,0.27829,1293046.656,424115.4476144975,2.324228853920209
95,2010-11-20,0.283015964932788,1316646.8720603164,428385.79282768513,2.3310501859351045
96,2010-11-21,0.27675,1289433.6,430763.5695860046,2.217524669929455
97,2010-11-22,0.285,1330194.75,433830.3459358533,2.275967905078162
98,2010-11-23,0.28295,1322607.3325,437106.4127938615,2.214331532505832
99,2010-11-24,0.282905736411455,1324904.144762126,440933.0452952982,2.179251259913979
100,2010-11-25,0.28,1313830.0000000002,445685.13791097887,2.113211231143319
101,2010-11-26,0.2844,1337234.5799999998,451204.4580689927,2.1292165622097055
102,2010-11-27,0.283,1333198.85,454403.9583564637,2.087093351389881
103,2010-11-28,0.271358679135009,1280690.8541116316,456976.9375782192,1.9389148856662928
104,2010-11-29,0.230559456458212,1090546.229047343,458463.7141141002,1.4844851976127993
105,2010-11-30,0.2082,986888.82,460196.3196130763,1.2374756303580414
106,2010-12-01,0.2275,1080511.25,461402.56281068665,1.4521406454616768
107,2010-12-02,0.255,1213519.5,467701.8883700226,1.740063930856084
108,2010-12-03,0.251060083576856,1197142.3495237012,470168.2059844847,1.688503336128891
109,2010-12-04,0.205000526008182,979861.5142139083,470976.3083566236,1.1831508913774829
110,2010-12-05,0.202850017533606,972006.5715166564,473856.70834694384,1.159580389336984
111,2010-12-06,0.204,979975.2,480364.4018519236,1.164256188351492
112,2010-12-07,0.233420385739334,1124094.2226241976,485842.58968861017,1.4844591853257356
113,2010-12-08,0.2388,1152842.82,489018.7794961891,1.5400846825114105
114,2010-12-09,0.199991694330801,967719.81052788,490844.3057332345,1.1080352952574977
115,2010-12-10,0.204,988614.6,492635.5840360756,1.1537965698940835
116,2010-12-11,0.228,1106917.2,495066.4827752435,1.4217912027066393
117,2010-12-12,0.219853611922852,1069247.0489061945,497080.3207320301,1.3293219381223371
118,2010-12-13,0.227605236703682,1108551.305365283,500211.2820123879,1.412052862947018
119,2010-12-14,0.24669,1203612.8445,502813.1572467777,1.6217290446845
120,2010-12-15,0.24,1173324.0,506839.4039455524,1.5390503536223623
121,2010-12-16,0.24996,1224179.1,509610.4287597308,1.644810092257162
122,2010-12-17,0.242655815312683,1190420.8987609602,511677.0150855136,1.5589050894077268
123,2010-12-18,0.241,1184237.85,514205.2701476078,1.535944393271677
124,2010-12-19,0.2401,1182024.305,516251.8008032619,1.5235262858718557
125,2010-12-20,0.267,1316577.0,521289.599477985,1.811046748502652
126,2010-12-21,0.241436002337814,1192874.928550555,528688.4350320997,1.509977784161712
127,2010-12-22,0.25,1237162.5,530801.6001852427,1.6018179169865332
128,2010-12-23,0.249970127995324,1238826.9573320262,532988.8511870158,1.5967857638814211
129,2010-12-24,0.248,1230898.4,534845.1294810311,1.57136303275221
130,2010-12-25,0.2499,1242427.83,537650.1715307666,1.5875527480651224
131,2010-12-26,0.264962127410871,1319233.184272356,540149.8012869997,1.74825631330401
132,2010-12-27,0.264785388661601,1320550.9296025697,542898.1516480397,1.7386999680343602
133,2010-12-28,0.281,1403791.7000000002,546219.0052905992,1.9068753145310744
134,2010-12-29,0.3,1501185.0,554800.1536940916,2.0878791054959827
135,2010-12-30,0.3,1503720.0,558417.1422662039,2.0698451981868753
136,2010-12-31,0.3,1506150.0,561335.8984766919,2.053895790374354
137,2011-01-01,0.3,1508865.0,564347.9591382372,2.039067284203286
138,2011-01-02,0.29997,1511338.851,568745.711723896,2.021417294607726
139,2011-01-03,0.295,1488599.5,572084.6190450232,1.954194945026752
140,2011-01-04,0.29895,1510639.1925,574477.8253180082,1.9840981529822903
141,2011-01-05,0.298916302162478,1512770.5677989768,577390.2671255048,1.9710026186682128
142,2011-01-06,0.298,1510234.2,579967.8239692026,1.9495637624979936
143,2011-01-07,0.32,1624352.0,583780.4289069404,2.163370130501572
144,2011-01-08,0.3229,1641817.34,587950.5732537376,2.173438228664223
145,2011-01-09,0.323,1644958.25,591358.3085855248,2.1561283315317383
146,2011-01-10,0.32659,1665886.6015,599179.2328722343,2.1657909259880115
147,2011-01-11,0.32659,1668695.2755,611247.7915235938,2.1307661404086313
148,2011-01-12,0.318799621274109,1631552.701756635,614293.0182754664,2.03678358577818
149,2011-01-13,0.3176,1628398.72,622224.3505434745,2.002528894099133
150,2011-01-14,0.399990005844535,2054448.667518993,631288.320763069,2.784245600743003
151,2011-01-15,0.386,1985622.6,635636.6818495491,2.604178997795794
152,2011-01-16,0.38679,1993051.512,643265.6149142536,2.568873835612339
153,2011-01-17,0.3495,1804066.575,648709.6784504633,2.1811667199283686
154,2011-01-18,0.31299,1617814.011,651153.7472150959,1.81773456966515
155,2011-01-19,0.31299,1620458.7765,658059.5561413438,1.80281027301929
156,2011-01-20,0.39,2022793.5,664624.7909650537,2.5128707841202473
157,2011-01-21,0.41991,2181579.4185,671435.7722655343,2.749825073449954
158,2011-01-22,0.44003552893045,2289768.8783424897,679151.0694053364,2.8802816328118928
159,2011-01-23,0.4424,2305833.04,691100.786883842,2.837792003717686
160,2011-01-24,0.4199,2192507.85,699073.1864507447,2.589504343551072
161,2011-01-25,0.41,2144013.0,704024.7100951137,2.4679705157984277
162,2011-01-26,0.415085129748685,2174340.435162537,714209.2194372215,2.473308719449234
163,2011-01-27,0.4212,2209741.56,800207.5366958004,2.3592751811518258
164,2011-01-28,0.444484044418469,2335408.06618352,806974.9762727658,2.522234447518524
165,2011-01-29,0.439,2310127.75,817127.0337125878,2.432262377581707
166,2011-01-30,0.477142033898305,2514562.375745762,823347.9477907289,2.7089313478662143
