Unnamed: 0,Date,Price,VOCD,MVOCD,HODL Bank,Reserve Risk
0,2010-08-17,0.07,0.0031006755142484,0.0031006755142484,0.0668993244857515,1.0463483830080946
1,2010-08-18,0.068,0.0094037468031865,0.0062522111587174,0.1286471133270341,0.5285777367358181
2,2010-08-19,0.0667,0.0018287503434234,0.0031006755142484,0.1922464378127857,0.3469505118474761
3,2010-08-20,0.0655,0.0019834878613546,0.0025420816878015,0.2552043561249841,0.2566570610100477
4,2010-08-21,0.0664,0.008520982484451,0.0031006755142484,0.3185036806107357,0.2084748278973636
5,2010-08-22,0.0659289888953828,0.0089202057814714,0.0058108289993497,0.3786218405067688,0.1741288585125985
6,2010-08-23,0.06491,0.0008586639276339,0.0031006755142484,0.4404311649925204,0.1473783082564158
7,2010-08-24,0.065,0.0023415943296423,0.0027211349219453,0.502710030070575,0.129299190610688
8,2010-08-25,0.0648,0.0008296120315108,0.0023415943296423,0.5651684357409327,0.1146560846326238
9,2010-08-26,0.0640751139684395,0.0008523717958062,0.0021625410954984,0.6270810086138736,0.1021799625379723
10,2010-08-27,0.065,0.0080062172357427,0.0023415943296423,0.6897394142842312,0.0942384887014945
11,2010-08-28,0.0646,0.0011060517782958,0.0021625410954984,0.7521768731887327,0.085884055070902
12,2010-08-29,0.064,0.0014598084810492,0.0019834878613546,0.8141933853273781,0.078605404015001
13,2010-08-30,0.06497,0.0015994312315632,0.001906119102389,0.877257266224989,0.0740603725969449
14,2010-08-31,0.06,0.0158747016100355,0.0019834878613546,0.9352737783636343,0.0641523384788747
15,2010-09-01,0.0620248275862069,0.0047968819246574,0.0021625410954984,0.9951360648543428,0.0623279868721122
16,2010-09-02,0.0634,0.002277817764805,0.002277817764805,1.056258247089538,0.0600231999841849
17,2010-09-03,0.06085,0.0067901007827532,0.0023097060472237,1.1147985410423142,0.0545838532790924
18,2010-09-04,0.062178275862069,0.0018219791491276,0.002277817764805,1.1746989991395782,0.0529312410307765
19,2010-09-05,0.06165,0.0351641131088133,0.0023097060472237,1.2340392930923545,0.0499578905996684
20,2010-09-06,0.0616,0.0059538818532862,0.0023415943296423,1.293297698762712,0.0476301783100149
21,2010-09-07,0.0612391180596142,0.0050876428695787,0.0027211349219453,1.3518156819003808,0.0453013816007255
22,2010-09-08,0.061,0.0015216009195543,0.0023415943296423,1.4104740875707384,0.0432478700158613
23,2010-09-09,0.0611149707773232,0.0149051309929855,0.0027211349219453,1.4688679234261162,0.0416068523266362
24,2010-09-10,0.0610115242548218,0.000663660665481,0.0023415943296423,1.5275378533512955,0.0399410882820137
25,2010-09-11,0.0636208649912332,0.0015404717239943,0.0023097060472237,1.588849012295305,0.040042108783719
26,2010-09-12,0.0615,0.0057290862500247,0.0023415943296423,1.6480074179656623,0.0373177931904681
27,2010-09-13,0.06218,0.0082563842556004,0.0027211349219453,1.707466283043717,0.0364165316864461
28,2010-09-14,0.06199,0.0029073122024032,0.0029073122024032,1.7665489708413138,0.0350910170186097
29,2010-09-15,0.0604,0.0121772104625088,0.0030039938583258,1.823944976982988,0.0331150340400665
30,2010-09-16,0.0619,0.0137934823913456,0.0038520970635303,1.8819928799194576,0.0328906664103049
31,2010-09-17,0.0600005260081823,0.1507694213369742,0.0038520970635303,1.9381413088641093,0.0309577664609743
32,2010-09-18,0.061,0.0048571657229327,0.004827023823795,1.9943142850403144,0.0305869543519651
33,2010-09-19,0.0627,0.0038166866928931,0.004827023823795,2.052187261216519,0.0305527673740806
34,2010-09-20,0.0621017358270018,0.0056573487138604,0.004827023823795,2.1094619732197257,0.0294396090640185
35,2010-09-21,0.06265,0.0020296418488375,0.0043067843087752,2.1678051889109504,0.0289001983759775
36,2010-09-22,0.061881870251315,0.0050164679585692,0.004827023823795,2.2248600353384704,0.0278138261591367
37,2010-09-23,0.062153512565751,0.0142221320921839,0.0049368168407509,2.28207673106347,0.0272355051518302
38,2010-09-24,0.0622,0.0014652139060359,0.0049368168407509,2.3393399142227196,0.026588696931915
39,2010-09-25,0.06202,0.005693260951354,0.005052055414074,2.3963078588086457,0.0258814825365694
40,2010-09-26,0.062,0.0022014576720872,0.0049368168407509,2.4533710419678947,0.0252713507004911
41,2010-09-27,0.0622004418468732,0.0482562238147478,0.005052055414074,2.510519428400694,0.0247759253098063
