Unnamed: 0,Date,Price,NUPL
0,2010-08-17,0.07,0.2498914427345188
1,2010-08-18,0.068,0.2270422950586356
2,2010-08-19,0.0667,0.2115375458874422
3,2010-08-20,0.0655,0.1966039148195782
4,2010-08-21,0.0664,0.2066400153434046
5,2010-08-22,0.0659289888953828,0.2001052166539466
6,2010-08-23,0.06491,0.1870520664835016
7,2010-08-24,0.065,0.1875745761223877
8,2010-08-25,0.0648,0.1845212598617826
9,2010-08-26,0.0640751139684395,0.1748262507432315
10,2010-08-27,0.065,0.1859386928419872
11,2010-08-28,0.0646,0.1805192747043305
12,2010-08-29,0.064,0.1725025970536805
13,2010-08-30,0.06497,0.1844524261896618
14,2010-08-31,0.06,0.1170376460798056
15,2010-09-01,0.0620248275862069,0.1456829111382171
16,2010-09-02,0.0634,0.1638154713146238
17,2010-09-03,0.06085,0.1286743202911128
18,2010-09-04,0.062178275862069,0.1470048901556457
19,2010-09-05,0.06165,0.1390500457370933
20,2010-09-06,0.0616,0.1384350623743052
21,2010-09-07,0.0612391180596142,0.1331242411383577
22,2010-09-08,0.061,0.1294922224468844
23,2010-09-09,0.0611149707773232,0.1305148150007761
24,2010-09-10,0.0610115242548218,0.1287632845157127
25,2010-09-11,0.0636208649912332,0.1641764526719941
26,2010-09-12,0.0615,0.1350189133999121
27,2010-09-13,0.06218,0.1440133082846346
28,2010-09-14,0.06199,0.141035936859796
29,2010-09-15,0.0604,0.1188052086588229
30,2010-09-16,0.0619,0.1394741975970869
31,2010-09-17,0.0600005260081823,0.1111606920947688
32,2010-09-18,0.061,0.1254074400560358
33,2010-09-19,0.0627,0.1485376012403069
34,2010-09-20,0.0621017358270018,0.1400789285275861
35,2010-09-21,0.06265,0.1472387821721071
36,2010-09-22,0.061881870251315,0.1363207638182037
37,2010-09-23,0.062153512565751,0.1396193810674177
38,2010-09-24,0.0622,0.1398315296704389
39,2010-09-25,0.06202,0.1367642742547875
40,2010-09-26,0.062,0.1361314433806559
41,2010-09-27,0.0622004418468732,0.1377786944065266
42,2010-09-28,0.0619038977206312,0.1311563374579598
43,2010-09-29,0.06191,0.130854008982628
44,2010-09-30,0.0619,0.1305757200302978
45,2010-10-01,0.0619733138515488,0.1303010807938259
46,2010-10-02,0.0614,0.1180695371807147
47,2010-10-03,0.0610648684979544,0.1131482745379899
48,2010-10-04,0.0612944769140853,0.1164544188759061
49,2010-10-05,0.0614,0.1168219481717869
50,2010-10-06,0.06281,0.1359988710605812
51,2010-10-07,0.067,0.1881823977482619
52,2010-10-08,0.0844531081239041,0.3496429360668461
53,2010-10-09,0.0938,0.4059410303297561
54,2010-10-10,0.0971462010520164,0.4219589125114851
55,2010-10-11,0.095,0.4055491768148433
56,2010-10-12,0.0949,0.4034837849166164
57,2010-10-13,0.104865589129164,0.4564433658741278
58,2010-10-14,0.102,0.4386579670785365
59,2010-10-15,0.105,0.4484500299697865
60,2010-10-16,0.101,0.4230027270808911
61,2010-10-17,0.102,0.4269740774463272
62,2010-10-18,0.1024,0.4271877290953015
63,2010-10-19,0.0975448918760959,0.3975473272244699
64,2010-10-20,0.099,0.4043420598691741
65,2010-10-21,0.107,0.4423216571311633
66,2010-10-22,0.1025,0.4170689034474923
67,2010-10-23,0.104556424313267,0.4267869470845239
68,2010-10-24,0.11501,0.4740336953367451
69,2010-10-25,0.139118552893045,0.5607056835878333
70,2010-10-26,0.151,0.5899886779078075
71,2010-10-27,0.1877,0.6617536170448207
72,2010-10-28,0.1731,0.6232447525856157
73,2010-10-29,0.19,0.653023527679732
74,2010-10-30,0.197610543541789,0.6626083299120157
75,2010-10-31,0.1925,0.6495191250835974
76,2010-11-01,0.194525061367621,0.6509100571985994
77,2010-11-02,0.1938,0.646030540284752
78,2010-11-03,0.1931,0.642157497332977
79,2010-11-04,0.229275160724722,0.6866142947898931
80,2010-11-05,0.259112413793104,0.7181111174656849
81,2010-11-06,0.400982302746932,0.8007862226376681
82,2010-11-07,0.34,0.7607007347285171
83,2010-11-08,0.243184628872005,0.6573905202749519
84,2010-11-09,0.217272694330801,0.6143549164547181
85,2010-11-10,0.229549731151373,0.6334249493193171
86,2010-11-11,0.2231,0.6211029161339826
87,2010-11-12,0.2682,0.6830719217089881
88,2010-11-13,0.276,0.688628168585525
89,2010-11-14,0.27904,0.6886241789227548
90,2010-11-15,0.268464555815313,0.6686208684004674
91,2010-11-16,0.225,0.6033364909531818
92,2010-11-17,0.241939333722969,0.6291486576471647
93,2010-11-18,0.269057790765634,0.6638694914431668
94,2010-11-19,0.27829,0.6720029817589989
95,2010-11-20,0.283015964932788,0.6746388102093478
96,2010-11-21,0.27675,0.665928071374901
97,2010-11-22,0.285,0.6738595262566979
98,2010-11-23,0.28295,0.6695115760717579
99,2010-11-24,0.282905736411455,0.6671962669612875
100,2010-11-25,0.28,0.6607741200071708
101,2010-11-26,0.2844,0.6625839139838929
102,2010-11-27,0.283,0.6591626535257934
103,2010-11-28,0.271358679135009,0.6431793542437629
104,2010-11-29,0.230559456458212,0.5796017611150738
105,2010-11-30,0.2082,0.5336898034643088
106,2010-12-01,0.2275,0.5729775485348378
107,2010-12-02,0.255,0.6145905456236816
108,2010-12-03,0.251060083576856,0.6072578952941167
109,2010-12-04,0.205000526008182,0.5193440077759731
110,2010-12-05,0.202850017533606,0.5124963943324289
111,2010-12-06,0.204,0.5098198384490509
112,2010-12-07,0.233420385739334,0.5677919342433673
113,2010-12-08,0.2388,0.5758148717132237
114,2010-12-09,0.199991694330801,0.4927826211747337
115,2010-12-10,0.204,0.501690968314573
116,2010-12-11,0.228,0.5527520190532377
117,2010-12-12,0.219853611922852,0.5351118142055876
118,2010-12-13,0.227605236703682,0.5487702918291533
119,2010-12-14,0.24669,0.5822467668532947
120,2010-12-15,0.24,0.56803116279429
121,2010-12-16,0.24996,0.5837125231432795
122,2010-12-17,0.242655815312683,0.5701713439187027
123,2010-12-18,0.241,0.565792234940297
124,2010-12-19,0.2401,0.5632477279701436
125,2010-12-20,0.267,0.604056884270358
126,2010-12-21,0.241436002337814,0.5567947465586341
127,2010-12-22,0.25,0.5709524010101804
128,2010-12-23,0.249970127995324,0.5697632764346071
129,2010-12-24,0.248,0.5654839347577094
130,2010-12-25,0.2499,0.5672584285794962
131,2010-12-26,0.264962127410871,0.5905577514827844
132,2010-12-27,0.264785388661601,0.5888851088754076
133,2010-12-28,0.281,0.61089739646516
134,2010-12-29,0.3,0.630425194966582
135,2010-12-30,0.3,0.6286428708361903
136,2010-12-31,0.3,0.6273041207869787
137,2011-01-01,0.3,0.625978494339628
138,2011-01-02,0.29997,0.6236808764973012
139,2011-01-03,0.295,0.6156893650407492
140,2011-01-04,0.29895,0.6197120873268961
141,2011-01-05,0.298916302162478,0.6183226462651336
142,2011-01-06,0.298,0.6159749104018419
143,2011-01-07,0.32,0.640607190493846
144,2011-01-08,0.3229,0.6418903863850424
145,2011-01-09,0.323,0.6405025424897411
146,2011-01-10,0.32659,0.6403241179005099
147,2011-01-11,0.32659,0.6336971761722987
148,2011-01-12,0.318799621274109,0.6234917709896353
149,2011-01-13,0.3176,0.6178918941035064
150,2011-01-14,0.399990005844535,0.6927212975705888
151,2011-01-15,0.386,0.6798804154175375
152,2011-01-16,0.38679,0.6772458659291022
153,2011-01-17,0.3495,0.6404181046087707
154,2011-01-18,0.31299,0.5975101323219435
155,2011-01-19,0.31299,0.5939054015538273
156,2011-01-20,0.39,0.6714322094840359
157,2011-01-21,0.41991,0.69222492357065
158,2011-01-22,0.44003552893045,0.7033975455649664
159,2011-01-23,0.4424,0.7002815143615767
160,2011-01-24,0.4199,0.6811536221178206
161,2011-01-25,0.41,0.6716322568496023
162,2011-01-26,0.415085129748685,0.6715283366452997
163,2011-01-27,0.4212,0.6378727941851262
164,2011-01-28,0.444484044418469,0.654460825087622
165,2011-01-29,0.439,0.6462849148872447
166,2011-01-30,0.477142033898305,0.6725680954537695
167,2011-01-31,0.525136870251315,0.69642095976021
168,2011-02-01,0.707510116890707,0.7672175003272494
169,2011-02-02,0.725434821741671,0.7644892914490367
170,2011-02-03,0.693898367621274,0.7513776542394851
171,2011-02-04,0.810958971361777,0.7835609942760476
172,2011-02-05,0.911671477498539,0.8027719351633824
173,2011-02-06,0.898,0.7940414033829271
174,2011-02-07,0.889421369959088,0.7823161928288918
175,2011-02-08,0.918,0.7868359758085115
176,2011-02-09,1.01605024547049,0.8007581575495134
177,2011-02-10,0.979652963179427,0.7897510755059609
178,2011-02-11,1.05406945353594,0.7993915943158839
179,2011-02-12,1.07870328404442,0.8012436728466314
180,2011-02-13,1.05,0.7930447570602003
181,2011-02-14,1.07001262419638,0.7899196889164961
182,2011-02-15,1.05,0.7836983280481851
183,2011-02-16,1.031687628872,0.777766654535386
184,2011-02-17,1.0399231975453,0.7774856414473496
185,2011-02-18,0.898955914669784,0.7402889983337536
186,2011-02-19,0.944028116890707,0.7509810840748545
187,2011-02-20,0.865,0.7261003144182234
188,2011-02-21,0.835747428404442,0.7150933722335828
189,2011-02-22,0.877041779661017,0.7261999992132712
190,2011-02-23,0.9,0.7312110892443392
191,2011-02-24,0.989095265926359,0.7526520777088619
192,2011-02-25,0.914652001753361,0.7309850158502836
193,2011-02-26,0.958,0.7383065911057873
194,2011-02-27,0.895033114552893,0.7154909430762362
195,2011-02-28,0.860220923436587,0.700732110361493
196,2011-03-01,0.921096891876096,0.6860909254474591
197,2011-03-02,0.9399,0.6899972933464186
198,2011-03-03,0.939073383401519,0.6880856575810267
199,2011-03-04,0.9011,0.6733675166795293
200,2011-03-05,0.90784060666277,0.6731660127294443
201,2011-03-06,0.884770973115138,0.6631900326860609
202,2011-03-07,0.877583864406779,0.6594765584580995
203,2011-03-08,0.866071591466979,0.6531912826031573
204,2011-03-09,0.86,0.6499107810198189
205,2011-03-10,0.920670309760374,0.6716506628198381
206,2011-03-11,0.88,0.6556651092450502
207,2011-03-12,0.917815513150205,0.6665616119597532
208,2011-03-13,0.89249,0.6553697942509592
209,2011-03-14,0.893924922852133,0.652709952075046
210,2011-03-15,0.87224,0.6424136330458554
211,2011-03-16,0.851211665692578,0.6300068465705927
212,2011-03-17,0.82542,0.6167303792966814
213,2011-03-18,0.801959208065459,0.605207249364862
214,2011-03-19,0.765,0.5855533070358053
215,2011-03-20,0.7415,0.5719318373486489
216,2011-03-21,0.75897,0.5804778239847516
217,2011-03-22,0.809130292811222,0.6058906881183016
218,2011-03-23,0.84971,0.6225604818416186
219,2011-03-24,0.872374365867914,0.6284653175518248
220,2011-03-25,0.88377,0.6320004353274848
221,2011-03-26,0.8552,0.6166010263339656
222,2011-03-27,0.822,0.5999123323693409
223,2011-03-28,0.794740500292227,0.5853909158146571
224,2011-03-29,0.792509941554646,0.5835050753854572
225,2011-03-30,0.789706312098189,0.5813910804468171
226,2011-03-31,0.78461,0.5778221052976056
227,2011-04-01,0.77411,0.5711977297465601
228,2011-04-02,0.78199,0.5750340426087358
229,2011-04-03,0.779,0.5725767854093202
