Unnamed: 0,Date,Price,sth_mvrv
1,2010-08-18,0.068,1.2351738213319507
2,2010-08-19,0.0667,1.2100973749970272
3,2010-08-20,0.0655,1.1868360609250057
4,2010-08-21,0.0664,1.20023980822458
5,2010-08-22,0.0659289888953828,1.189007033700786
6,2010-08-23,0.06491,1.1691667136050514
7,2010-08-24,0.065,1.1688957589585656
8,2010-08-25,0.0648,1.1636113221255684
9,2010-08-26,0.0640751139684395,1.1492486636184536
10,2010-08-27,0.065,1.1638956382075496
11,2010-08-28,0.0646,1.155397431817631
12,2010-08-29,0.064,1.1436507622134875
13,2010-08-30,0.06497,1.1596984772682344
14,2010-08-31,0.06,1.071211951235069
15,2010-09-01,0.0620248275862069,1.1067835081240172
16,2010-09-02,0.0634,1.1300957170320427
17,2010-09-03,0.06085,1.0844318445367815
18,2010-09-04,0.062178275862069,1.107310265208153
19,2010-09-05,0.06165,1.096260412659853
20,2010-09-06,0.0616,1.0954812465877812
21,2010-09-07,0.0612391180596142,1.0881841007185804
22,2010-09-08,0.061,1.0830618413551392
23,2010-09-09,0.0611149707773232,1.0831155434894446
24,2010-09-10,0.0610115242548218,1.0805775101457544
25,2010-09-11,0.0636208649912332,1.125896894139179
26,2010-09-12,0.0615,1.0874682650775875
27,2010-09-13,0.06218,1.0979148108635108
28,2010-09-14,0.06199,1.0936329673873448
29,2010-09-15,0.0604,1.0665094485604891
30,2010-09-16,0.0619,1.0911872289583586
31,2010-09-17,0.0600005260081823,1.0565111628404755
32,2010-09-18,0.061,1.0732555016104286
33,2010-09-19,0.0627,1.1016386601389605
34,2010-09-20,0.0621017358270018,1.090232217441928
35,2010-09-21,0.06265,1.0988169628252644
36,2010-09-22,0.061881870251315,1.0843040906471262
37,2010-09-23,0.062153512565751,1.0879100176127845
38,2010-09-24,0.0622,1.0869925836821883
39,2010-09-25,0.06202,1.0824857774973806
40,2010-09-26,0.062,1.0807961569298046
41,2010-09-27,0.0622004418468732,1.082541439370647
42,2010-09-28,0.0619038977206312,1.0744749127256683
43,2010-09-29,0.06191,1.073622195190486
44,2010-09-30,0.0619,1.072932585938349
45,2010-10-01,0.0619733138515488,1.072571236028386
46,2010-10-02,0.0614,1.0522979680536069
47,2010-10-03,0.0610648684979544,1.0461967519101931
48,2010-10-04,0.0612944769140853,1.0502595631273677
49,2010-10-05,0.0614,1.0509501309276288
50,2010-10-06,0.06281,1.0735641426705935
51,2010-10-07,0.067,1.140246066962485
52,2010-10-08,0.0844531081239041,1.4103913666215722
53,2010-10-09,0.0938,1.5238212248840992
54,2010-10-10,0.0971462010520164,1.5554351085745792
55,2010-10-11,0.095,1.505077271860734
56,2010-10-12,0.0949,1.4966643810745426
57,2010-10-13,0.104865589129164,1.6356024167380696
58,2010-10-14,0.102,1.5766925971248524
59,2010-10-15,0.105,1.5901510661855192
60,2010-10-16,0.101,1.5154436624690384
