date,timestamp,long_conviction,short_conviction,net_conviction,zone,mri,slope_5d,mnav,btc_price,mstr_price,bull_sum,bear_sum
2026-06-19,2026-06-19T22:24:19.704354,,,58.7,LONG,15.055555555555555,-2.790245346016716,0.8098529471277858,63344.01171875,112.52999877929688,70.6,-11.9
2026-06-20,2026-06-20T12:49:06.800241,,,65.9,LONG,15.055555555555555,-2.790245346016716,0.8040901595074805,63797.98828125,112.52999877929688,65.9,0.0
2026-06-22,2026-06-22T16:43:58.136602,,,65.2,LONG,17.07777777777778,-2.789620408769497,0.7825953906749009,64146.12890625,109.45999908447266,65.1,0.0
2026-06-24,2026-06-24T20:30:15.265079,,,66.1,LONG,11.755555555555556,-2.919598041126447,0.7106069100809642,60750.6484375,94.12999725341795,66.1,0.0
2026-06-25,2026-06-25T19:12:38.692632,,,66.1,LONG,11.755555555555556,-3.0053056175403245,0.6552353605651503,59725.078125,85.33000183105469,63.7,0.0
2026-06-26,2026-06-26T13:34:24.291565,,,72.4,LONG,11.588888888888889,-3.0674018286360325,0.6437334482588147,58776.01953125,82.5,69.7,0.0
